@relation medium

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
115,36,1,255,0.003906,0.761589,0.991379,0.761589,0.008621,0.861423,0.285012,2.672128,0.99961
114,37,1,255,0.003906,0.754967,0.991304,0.754967,0.008696,0.857143,0.282555,2.671926,0.999611
113,38,1,255,0.003906,0.748344,0.991228,0.748344,0.008772,0.85283,0.280098,2.671721,0.99966
111,40,1,255,0.003906,0.735099,0.991071,0.735099,0.008929,0.844106,0.275184,2.671298,0.999697
110,41,1,255,0.003906,0.728477,0.990991,0.728477,0.009009,0.839695,0.272727,2.671082,0.999727
100,51,1,255,0.003906,0.662252,0.990099,0.662252,0.009901,0.793651,0.248157,2.668677,0.999752
94,57,1,255,0.003906,0.622517,0.989474,0.622517,0.010526,0.764228,0.233415,2.666992,0.999752
90,61,1,255,0.003906,0.596026,0.989011,0.596026,0.010989,0.743802,0.223587,2.665745,0.999772
86,65,1,255,0.003906,0.569536,0.988506,0.569536,0.011494,0.722689,0.213759,2.664383,0.999773
83,68,1,255,0.003906,0.549669,0.988095,0.549669,0.011905,0.706383,0.206388,2.663277,0.999805
82,69,1,255,0.003906,0.543046,0.987952,0.543046,0.012048,0.700855,0.203931,2.66289,0.999805
81,70,1,255,0.003906,0.536424,0.987805,0.536424,0.012195,0.695279,0.201474,2.662494,0.999829
71,80,1,255,0.003906,0.470199,0.986111,0.470199,0.013889,0.636771,0.176904,2.657929,0.99983
68,83,1,255,0.003906,0.450331,0.985507,0.450331,0.014493,0.618182,0.169533,2.656301,0.999839
64,87,1,255,0.003906,0.423841,0.984615,0.423841,0.015385,0.592593,0.159705,2.653897,0.99984
62,89,1,255,0.003906,0.410596,0.984127,0.410596,0.015873,0.579439,0.154791,2.652581,0.999848
61,90,1,255,0.003906,0.403974,0.983871,0.403974,0.016129,0.57277,0.152334,2.651891,0.999895
55,96,0,256,0,0.364238,1,0.364238,0,0.533981,0.135135,2.695364,0.999943
41,110,0,256,0,0.271523,1,0.271523,0,0.427083,0.100737,2.695364,0.999943
27,124,0,256,0,0.178808,1,0.178808,0,0.303371,0.066339,2.695364,0.999944
15,136,0,256,0,0.099338,1,0.099338,0,0.180723,0.036855,2.695364,0.999945
10,141,0,256,0,0.066225,1,0.066225,0,0.124224,0.02457,2.695364,0.999946
6,145,0,256,0,0.039735,1,0.039735,0,0.076433,0.014742,2.695364,0.999947
3,148,0,256,0,0.019868,1,0.019868,0,0.038961,0.007371,2.695364,0.999948
0,151,0,256,0,0,0,0,0,0,0,?,0.999958
